,BRACKET PURPLE,Voters:,,,,,,,,,,,,,,,Translation User ID,Voters,Winner Votes
Round 1,"Nah, I'd Win",Jackie,Luc,MangleSlash,FrozenReality,Mees,Blaze,Chaspyr,Milo,InfiNate,Toadeight,Mahoraga,Shishifinfin,Honch,,,539398894178664448,MangleSlash,60
Round 2,Evil Frozen,MangleSlash,FrozenReality,Blaze,Milo,Toadeight,Honch,Danpire,,,,,,,,,964331185184571483,Shishifinfin,54
Round 3,1 Apple,Jackie,Mees,Chaspyr,Milo,InfiNate,Toadeight,,,,,,,,,,480108926529044480,FrozenReality,51
Round 4,Blimp Piano Man,Jackie,Luc,MangleSlash,Mees,Blaze,Chaspyr,Milo,InfiNate,Toadeight,Mahoraga,Honch,,,,,755104081260839043,LuigiDawg,50
Round 5,Sonic the Hedgehog,Jackie,Ronku,FrozenReality,Chaspyr,Shdww,Danpire,LuigiDawg,ultra robin,milo,Bow,Toadeight,Shishifinfin,Mahoraga,,,327420085151072266,Jackie,48
Round 6,Mewtwo,Shdww,Danpire,LuigiDawg,Toadeight,MangleSlash,Honch,Shishifinfin,,,,,,,,,202488665719570443,Ronku,45
Round 7,Drift King,Ronku,Jackie,MangleSlash,FrozenReality,Shdww,Milo,Mahoraga,InfiNate,Honch,Bow,,,,,,956906745257664532,Toadeight,44
Round 8,Bucket of Fish,Chaspyr,Ronku,Jackie,FrozenReality,Milo,Berry,Matrim,Shishifinfin,Bow,,,,,,,379242958526087168,Mees,41
Quarterfinal 1,Evil Frozen,Ronku,Mees,Monark,FrozenReality,MangleSlash,Milo,LuigiDawg,Honch,Matrim,,,,,,,916444663337091083,Matrim,41
Quarterfinal 2,Blimp Piano Man,Chaspyr,Jackie,Mees,MangleSlash,Shishifinfin,Toadeight,Honch,,,,,,,,,629184977959125033,Milo,38
Quarterfinal 3,Mewtwo,Luc,Quokka,LuigiDawg,MangleSlash,Monark,Toadeight,,,,,,,,,,225688977099718659,Luc,38
Quarterfinal 4,Drift King,Ronku,Luc,Monark,FrozenReality,Matrim,MangleSlash,Jackie,,,,,,,,,694263534883831918,Honch,37
Loser's 1,LEGO Batman,Luc,Jackie,Mees,Monark,Milo,FrozenReality,Berry,Honch,Matrim,Shishifinfin,,,,,,841964877575880714,Honch,37
Loser's 2,10 Home Depot Employees,Chaspyr,Luc,Mees,Monark,Berry,LuigiDawg,FrozenReality,Matrim,Shishifinfin,,,,,,,683795707198570527,Berry,32
Loser's 3,Slowly Flooding Apartment Building,Chaspyr,Luc,Quokka,Jackie,Monark,FrozenReality,MangleSlash,Berry,Toadeight,Shishifinfin,,,,,,785197484108414988,Jules,29
Loser's 4,Super Macho Man,Quokka,Jackie,Mees,Monark,LuigiDawg,Toadeight,Matrim,,,,,,,,,912277064420323348,InfiNate,29
2nd Loser's 1,LEGO Batman,Shishifinfin,Chaspyr,Jackie,FrozenReality,MangleSlash,Berry,LuigiDawg,InfiNate,Matrim,Kibblestone,,,,,,170616030387765248,Chaspyr,26
2nd Loser's 2,10 Home Depot Employees,Shishifinfin,Mees,MangleSlash,Luc,Berry,Kibblestone,,,,,,,,,,423899159439867905,Monark,21
2nd Loser's 3,Sonic the Hedgehog,Toadeight,Shishifinfin,Chaspyr,Ronku,Jackie,LuigiDawg,FrozenReality,MangleSlash,InfiNate,Kibblestone,,,,,,1192211863077924914,Kibblestone,15
2nd Loser's 4,Jesus Christ,Shishifinfin,Jackie,InfiNate,MangleSlash,Kibblestone,,,,,,,,,,,271549045275754496,Quokka,14
Semifinal,Mewtwo,LuigiDawg,Toadeight,Shishifinfin,MangleSlash,Ronku,Chaspyr,,,,,,,,,,459461882873643009,Blaze,12
3rd Loser's,Sonic the Hedgehog,Chaspyr,Jackie,MangleSlash,LuigiDawg,Ronku,Honch,Toadeight,,,,,,,,,1137860544464957460,Bow,6
4th Loser's,Evil Frozen,FrozenReality,Matrim,Mees,Honch,Blaze,Milo,Jules,,,,,,,,,726522129087987742,Mahoraga,6
,,,,,,,,,,,,,,,,,236911768343937036,Shdww,4
,,,,,,,,,,,,,,,,,292342827067768832,Danpire,3
,,,,,,,,,,,,,,,,,331842608429006848,ultra robin,1
,BRACKET BLUE,Voters:,,,,,,,,,,,,,,,,,
Round 1,Chairified with a Chair,Chaspyr,Milo,Ronku,Berry,Honch,LuigiDawg,Jules,Mees,,,,,,,,,,
Round 2,The Sun,Ronku,Mees,MangleSlash,Milo,Berry,Mahoraga,Jules,,,,,,,,,,,
Round 3,Dr. Eggman,Mees,FrozenReality,InfiNate,Toadeight,Shishifinfin,LuigiDawg,Honch,MangleSlash,Milo,,,,,,,,,
Round 4,The Snire,Ronku,MangleSlash,FrozenReality,Jules,Mees,Shdww,InfiNate,Honch,,,,,,,,,,
Round 5,Waluigi with a Gun,Ronku,LuigiDawg,Luc,Jackie,Milo,Berry,Mees,FrozenReality,Jules,Honch,Toadeight,Shishifinfin,MangleSlash,,,,,
Round 6,A Math Test,Luc,Jackie,Monark,FrozenReality,Shishifinfin,Berry,MangleSlash,,,,,,,,,,,
Round 7,Three Border Collies in a Tank,Jackie,Monark,Milo,Berry,LuigiDawg,Matrim,,,,,,,,,,,,
Round 8,JaidenAnimations,Ronku,Luc,Monark,FrozenReality,InfiNate,Toadeight,Jules,Berry,Milo,Shishifinfin,,,,,,,,
Quarterfinal 1,Chairified with a Chair,Ronku,Luc,Mees,Milo,Berry,Honch,LuigiDawg,Matrim,Jules,Shishifinfin,,,,,,,,
Quarterfinal 2,Man with Infinite Apple Cider,Chaspyr,Luc,Jackie,Mees,Matrim,Shishifinfin,,,,,,,,,,,,
Quarterfinal 3,Waluigi with a Gun,Luc,Quokka,Jackie,Mees,FrozenReality,MangleSlash,Milo,LuigiDawg,Jules,Shishifinfin,,,,,,,,
Quarterfinal 4,3 Border Collies in a Tank,Ronku,Quokka,Mees,Berry,LuigiDawg,Honch,Matrim,,,,,,,,,,,
Loser's 1,Henry Stickmin,Luc,Quokka,Jackie,Monark,FrozenReality,MangleSlash,Milo,Berry,LuigiDawg,Toadeight,,,,,,,,
Loser's 2,Every Rat in Paris,Chaspyr,Luc,Quokka,Jackie,Mees,FrozenReality,Berry,Jules,Shishifinfin,,,,,,,,,
Loser's 3,Doug Dimmadome,Chaspyr,Luc,Quokka,Jackie,FrozenReality,MangleSlash,Milo,Berry,Jules,Matrim,Shishifinfin,,,,,,,
Loser's 4,Applin,Chaspyr,Ronku,Quokka,MangleSlash,Milo,Berry,Toadeight,,,,,,,,,,,
2nd Loser's 1,Henry Stickmin,Luc,Jackie,Matrim,Mees,Shishifinfin,,,,,,,,,,,,,
2nd Loser's 2,Dr. Eggman,FrozenReality,Ronku,LuigiDawg,Toadeight,Mahoraga,Mees,Kibblestone,Matrim,Jackie,,,,,,,,,
2nd Loser's 3,The Sun,Mees,MangleSlash,Berry,Shishifinfin,Kibblestone,,,,,,,,,,,,,
2nd Loser's 4,JaidenAnimations,Luc,Toadeight,LuigiDawg,Berry,Shishifinfin,FrozenReality,,,,,,,,,,,,
Semifinal,Chairified with a Chair,Ronku,Luc,FrozenReality,MangleSlash,Milo,Jules,Honch,Matrim,Shishifinfin,,,,,,,,,
3rd Loser's,Dr. Eggman,Jackie,LuigiDawg,Matrim,Toadeight,Shishifinfin,Kibblestone,,,,,,,,,,,,
4th Loser's,Waluigi with a Gun,Luc,Mees,LuigiDawg,Matrim,Shishifinfin,Blaze,Jules,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,BRACKET GREEN,Voters:,,,,,,,,,,,,,,,,,
Round 1,Dr. W. D. Gaster,Monark,Blaze,Toadeight,Matrim,MangleSlash,FrozenReality,,,,,,,,,,,,
Round 2,Bowser Santa OR Raiden,Ronku,Luc,Monark,Matrim,FrozenReality,Shishifinfin,Mees,InfiNate,Jules,Honch,MangleSlash,Mees,,,,,,
Round 3,James Team Rocket,Monark,Blaze,MangleSlash,Milo,Berry,Shishifinfin,Jules,,,,,,,,,,,
Round 4,Dante Devil May Cry,Ronku,Mees,MangleSlash,LuigiDawg,InfiNate,Shishifinfin,,,,,,,,,,,,
Round 5,Luigi's Dad,Ronku,Mees,Blaze,Milo,LuigiDawg,Honch,Matrim,Bow,,,,,,,,,,
Round 6,Spanish Inquisition,Luc,Matrim,Jackie,Monark,Mees,Shishifinfin,Milo,MangleSlash,,,,,,,,,,
Round 7,Steamroller Man,Chaspyr,Ronku,Blaze,MangleSlash,LuigiDawg,Matrim,Jules,Luc,Bow,,,,,,,,,
Round 8,Bill Nye OR Hydrogen Bomb,Monark,FrozenReality,MangleSlash,LuigiDawg,Bow,Berry,Jackie,Matrim,Blaze,Jules,Luc,Ronku,,,,,,
Quarterfinal 1,Bowser Santa  ,FrozenReality,LuigiDawg,Milo,Shishifinfin,Luc,Ronku,Berry,Quokka,,,,,,,,,,
Quarterfinal 2,Dante Devil May Cry,InfiNate,LuigiDawg,Shishifinfin,Mees,Luc,Ronku,Honch,,,,,,,,,,,
Quarterfinal 3,Luigi's Dad,Ronku,LuigiDawg,Jackie,Milo,Shishifinfin,Toadeight,Honch,Matrim,,,,,,,,,,
Quarterfinal 4,Bill Nye  ,FrozenReality,LuigiDawg,Jackie,Ronku,MangleSlash,Chaspyr,Shishifinfin,Berry,,,,,,,,,,
Loser's 1,1 of every Kanto region Pokemon,FrozenReality,Jackie,Ronku,Toadeight,MangleSlash,Honch,,,,,,,,,,,,
Loser's 2,Eight on a Motorcycle,LuigiDawg,Jackie,Ronku,Toadeight,InfiNate,FrozenReality,Matrim,Milo,Shishifinfin,Honch,MangleSlash,Quokka,,,,,,
Loser's 3,Among Us Impostor,FrozenReality,LuigiDawg,InfiNate,MangleSlash,Chaspyr,Shishifinfin,Toadeight,Luc,Matrim,Jules,,,,,,,,
Loser's 4,Weezer,LuigiDawg,Jackie,Matrim,Toadeight,Kibblestone,Jules,Milo,,,,,,,,,,,
2nd Loser's 1,The Man driving Trolley in Trolley Problem,Berry,Luc,Honch,Jules,Shishifinfin,,,,,,,,,,,,,
2nd Loser's 2,James (Team Rocket),Shishifinfin,Matrim,FrozenReality,MangleSlash,Berry,Kibblestone,,,,,,,,,,,,
2nd Loser's 3,King Dedede,Ronku,Luc,LuigiDawg,MangleSlash,Berry,InfiNate,Toadeight,,,,,,,,,,,
2nd Loser's 4,Hydrogen Bomb,LuigiDawg,InfiNate,Luc,MangleSlash,Honch,Jules,,,,,,,,,,,,
Semifinal,Luigi's Dad,LuigiDawg,Chaspyr,Matrim,Toadeight,,,,,,,,,,,,,,
3rd Loser's,Hydrogen Bomb,Luc,Jackie,Mees,LuigiDawg,,,,,,,,,,,,,,
4th Loser's,Hydrogen Bomb,Luc,Jackie,KIbblestone,LuigiDawg,Shishifinfin,Matrim,Blaze,Milo,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,BRACKET RED,,,,,,,,,,,,,,,,,,
Round 1,Mangle,Ronku,Jackie,Monark,FrozenReality,MangleSlash,Honch,Toadeight,Shishifinfin,,,,,,,,,,
Round 2,ShadowDragon,Ronku,Quokka,MangleSlash,FrozenReality,Milo,Honch,Matrim,Shishifinfin,Mees,,,,,,,,,
Round 3,Mangle Clone,Ronku,Mees,Jackie,MangleSlash,FrozenReality,Milo,Monark,Quokka,Chaspyr,Honch,Toadeight,Shishifinfin,,,,,,
Round 4,Perry the Platypus,Quokka,Monark,MangleSlash,FrozenReality,Honch,Shishifinfin,Jules,Jackie,,,,,,,,,,
Round 5,Infi in a fast car,Ronku,Chaspyr,Jackie,Monark,FrozenReality,MangleSlash,LuigiDawg,InfiNate,Honch,Toadeight,Shishifinfin,,,,,,,
Round 6,THE ALL NEW FORD F-150,Chaspyr,Luc,Jackie,Mees,LuigiDawg,Jules,Toadeight,Shishifinfin,,,,,,,,,,
Round 7,Three Million Twitch Chatters,Luc,Jackie,Monark,Blaze,FrozenReality,MangleSlash,Berry,Jules,InfiNate,,,,,,,,,
Round 8,Link Twilight Princess OR Garfield,Luc,MangleSlash,Berry,InfiNate,Toadeight,Chaspyr,Ronku,Milo,FrozenReality,Jules,,,,,,,,
Quarterfinal 1,Mangle,Ronku,MangleSlash,FrozenReality,InfiNate,LuigiDawg,Shishifinfin,Milo,,,,,,,,,,,
Quarterfinal 2,Exact Clone of Mangle,Ronku,MangleSlash,FrozenReality,Toadeight,LuigiDawg,Shishifinfin,Honch,,,,,,,,,,,
Quarterfinal 3,Infi in a fast car,Ronku,MangleSlash,Jackie,Mees,FrozenReality,LuigiDawg,InfiNate,Milo,Matrim,Toadeight,Shishifinfin,,,,,,,
Quarterfinal 4,3 Million Twitch Chatters,Luc,Jackie,Matrim,MangleSlash,FrozenReality,Jules,Honch,InfiNate,Toadeight,Shishifinfin,,,,,,,,
Loser's 1,GIGA BOWSER,Ronku,Matrim,Toadeight,LuigiDawg,Shishifinfin,Milo,FrozenReality,Honch,,,,,,,,,,
Loser's 2,Muscle Man,Jackie,Berry,Kibblestone,LuigiDawg,Shishifinfin,Mees,MangleSlash,,,,,,,,,,,
Loser's 3,Buff Wheatley,Ronku,Mees,FrozenReality,MangleSlash,Jules,Honch,InfiNate,Toadeight,,,,,,,,,,
Loser's 4,Robbie Rotten,Ronku,Mees,FrozenReality,MangleSlash,Berry,LuigiDawg,Jules,InfiNate,Matrim,Toadeight,Kibblestone,,,,,,,
2nd Loser's 1,GIGA BOWSER,Chaspyr,LuigiDawg,InfiNate,Jackie,Toadeight,Matrim,Kibblestone,,,,,,,,,,,
2nd Loser's 2,Luigi in a Truck,Ronku,LuigiDawg,InfiNate,Jackie,Toadeight,Honch,Shishifinfin,MangleSlash,Matrim,,,,,,,,,
2nd Loser's 3,Buff Wheatley,InfiNate,Jules,MangleSlash,Ronku,Kibblestone,Honch,Milo,,,,,,,,,,,
2nd Loser's 4,Robbie Rotten,Jackie,Mees,Berry,FrozenReality,MangleSlash,LuigiDawg,Honch,Toadeight,Matrim,InfiNate,,,,,,,,
Semifinal,Mangle,Ronku,Mees,LuigiDawg,MangleSlash,FrozenReality,,,,,,,,,,,,,
3rd Loser's,Robbie Rotten,MangleSlash ,Jackie,Mees,Matrim,Kibblestone,,,,,,,,,,,,,
4th Loser's,Three Million Twitch Chatters,Toadeight,Matrim,Ronku,Jules,Milo,MangleSlash,FrozenReality,Luc,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,INTER-BRACKET,,,,,,,,,,,,,,,,,,
Loser's Finals,Three Million Twitch Chatters,Berry,Luc,Shishifinfin,Matrim,Toadeight,Jules,InfiNate,,,,,,,,,,,
Finals,MangleSlash,Shdww,LuigiDawg,Blaze,Quokka,Monark,Jackie,FrozenReality,Honch,Nart,Bow,Shishifinfin,Toadeight,,,,,,